,implementation,mean_type,distance,threshold,f1,accuracy
101,USE,mean,l2,0.6834268061625312,0.6134206219312602,0.9344253192670738
102,USE,mean,l2,0.7018978009236807,0.5889316365788695,0.9228761799000555
103,USE,mean,l2,0.7203687956848301,0.5674293405114401,0.9107717934480843
104,USE,mean,l2,0.7388397904459797,0.531042944785276,0.8938922820655192
105,USE,mean,l2,0.7573107852071291,0.4881993006993007,0.8699611327040533
106,USE,mean,l2,0.7757817799682787,0.4442270058708415,0.8423098278734037
107,USE,mean,l2,0.7942527747294281,0.40353614144565786,0.8089394780677401
108,USE,mean,l2,0.8127237694905777,0.3554153522607781,0.7617434758467518
109,USE,mean,l2,0.8311947642517271,0.31179300481081784,0.7061077179344808
110,USE,mean,l2,0.8496657590128767,0.274643099932019,0.6445308162132148
111,USE,mean,l2,0.8681367537740261,0.2434834714870668,0.579400333148251
112,USE,mean,l2,0.8866077485351755,0.2176773964076116,0.511493614658523
113,USE,mean,l2,0.9050787432963251,0.1962040522143029,0.4426985008328706
114,USE,mean,l2,0.9235497380574745,0.18063945778694562,0.3824541921154914
115,USE,mean,l2,0.9420207328186241,0.16795564985285058,0.3249861188228762
116,USE,mean,l2,0.9604917275797735,0.15690537084398978,0.2678511937812326
117,USE,mean,l2,0.9789627223409231,0.14781351644380195,0.2144364242087729
118,USE,mean,l2,0.9974337171020725,0.14030874785591768,0.16513048306496392
119,USE,mean,l2,1.015904711863222,0.13501924134139637,0.1263742365352582
120,USE,mean,l2,1.0343757066243715,0.1315690791235871,0.09988895058300944
121,USE,mean,l2,1.052846701385521,0.12954953054119633,0.08373126041088284
122,USE,mean,l2,1.0713176961466706,0.1284518828451883,0.07473625763464742
123,USE,mean,l2,1.08978869090782,0.12796331996040222,0.07068295391449195
124,USE,mean,l2,1.1082596856689695,0.12776361650106643,0.06901721265963354
125,USE,mean,l2,1.126730680430119,0.12770382695507487,0.06851749028317601
126,USE,mean,l2,1.1452016751912686,0.12767063471435253,0.06823986674069961
127,USE,mean,l2,1.163672669952418,0.12766399833662545,0.06818434203220433
128,USE,median,l1,0.0,0.07788595271210015,0.9263742365352582
129,USE,median,l1,0.018531295004853288,0.07788595271210015,0.9263742365352582
130,USE,median,l1,0.037062590009706575,0.07788595271210015,0.9263742365352582
131,USE,median,l1,0.05559388501455986,0.07788595271210015,0.9263742365352582
132,USE,median,l1,0.07412518001941315,0.07788595271210015,0.9263742365352582
133,USE,median,l1,0.09265647502426644,0.07788595271210015,0.9263742365352582
134,USE,median,l1,0.11118777002911973,0.07788595271210015,0.9263742365352582
135,USE,median,l1,0.129719065033973,0.08055555555555556,0.9264852859522488
136,USE,median,l1,0.1482503600388263,0.08055555555555556,0.9264852859522488
137,USE,median,l1,0.1667816550436796,0.08055555555555556,0.9264852859522488
138,USE,median,l1,0.18531295004853288,0.08188757807078417,0.926540810660744
139,USE,median,l1,0.20384424505338616,0.08448753462603878,0.9265963353692394
140,USE,median,l1,0.22237554005823945,0.09497591190640055,0.9269850083287062
141,USE,median,l1,0.24090683506309274,0.10150891632373114,0.9272626318711826
142,USE,median,l1,0.259438130067946,0.11179277436946149,0.9276513048306496
143,USE,median,l1,0.2779694250727993,0.12330623306233063,0.9281510272071072
144,USE,median,l1,0.2965007200776526,0.13342318059299188,0.9285952248750694
145,USE,median,l1,0.3150320150825059,0.15925680159256803,0.9296501943364798
146,USE,median,l1,0.3335633100873592,0.18324607329842932,0.93070516379789
147,USE,median,l1,0.35209460509221246,0.20897435897435898,0.931482509716824
148,USE,median,l1,0.37062590009706575,0.2371392722710163,0.932481954469739
149,USE,median,l1,0.38915719510191904,0.2752293577981651,0.9342032204330927
150,USE,median,l1,0.4076884901067723,0.30335731414868106,0.9354802887284842
151,USE,median,l1,0.4262197851116256,0.3270588235294118,0.9364797334813992
152,USE,median,l1,0.4447510801164789,0.3491329479768786,0.9374791782343143
153,USE,median,l1,0.4632823751213322,0.3787450537026569,0.9389783453636869
154,USE,median,l1,0.4818136701261855,0.40818584070796465,0.94058856191005
155,USE,median,l1,0.5003449651310388,0.42414355628058725,0.9411993337034981
156,USE,median,l1,0.518876260135892,0.44195953141640043,0.9418101054969461
157,USE,median,l1,0.5374075551407453,0.47186370676303563,0.9431982232093281
158,USE,median,l1,0.5559388501455986,0.49327354260089684,0.9435313714602999
159,USE,median,l1,0.5744701451504519,0.5215311004784688,0.9444752915047196
160,USE,median,l1,0.5930014401553052,0.5442922374429223,0.9445863409217101
161,USE,median,l1,0.6115327351601585,0.5629887054735013,0.9441421432537479
162,USE,median,l1,0.6300640301650118,0.5877011968633925,0.9445308162132149
163,USE,median,l1,0.6485953251698651,0.597532767925983,0.9420322043309273
164,USE,median,l1,0.6671266201747184,0.5979899497487438,0.937812326485286
165,USE,median,l1,0.6856579151795716,0.5942173479561316,0.9322043309272626
166,USE,median,l1,0.7041892101844249,0.5767131594906003,0.9224875069405886
167,USE,median,l1,0.7227205051892782,0.555586670400448,0.91188228761799
168,USE,median,l1,0.7412518001941315,0.5164414988529187,0.894669627984453
169,USE,median,l1,0.7597830951989848,0.4752113319625314,0.8724597445863409
170,USE,median,l1,0.7783143902038381,0.43592913061392663,0.8479733481399223
171,USE,median,l1,0.7968456852086914,0.39543446244477176,0.8176568573014992
172,USE,median,l1,0.8153769802135447,0.35538936758250683,0.7798445308162132
173,USE,median,l1,0.8339082752183979,0.31347517730496455,0.7312604108828429
174,USE,median,l1,0.8524395702232512,0.280439121756487,0.6797334813992226
175,USE,median,l1,0.8709708652281045,0.2521419828641371,0.6268184342032205
176,USE,median,l1,0.8895021602329578,0.22605934305844994,0.5669627984453082
177,USE,median,l1,0.9080334552378111,0.20493562231759657,0.5062742920599667
178,USE,median,l1,0.9265647502426644,0.18747455004479194,0.4460299833425875
179,USE,median,l1,0.9450960452475177,0.172756482104162,0.3852859522487507
180,USE,median,l1,0.963627340252371,0.16149068322981366,0.332870627429206
181,USE,median,l1,0.9821586352572242,0.15128355869096607,0.27856746252082176
182,USE,median,l1,1.0006899302620775,0.14229540427623494,0.2248750694058856
183,USE,median,l1,1.0192212252669308,0.1347674418604651,0.17368128817323708
184,USE,median,l1,1.037752520271784,0.1293598973156984,0.1337590227651305
185,USE,median,l1,1.0562838152766374,0.1255279974006282,0.1033870072182121
186,USE,median,l1,1.0748151102814907,0.12324542747766909,0.0843975569128262
187,USE,median,l1,1.093346405286344,0.12200642139059951,0.07379233759022766
188,USE,median,l1,1.1118777002911973,0.1213358458961474,0.06796224319822321
189,USE,median,l1,1.1304089952960505,0.1210254268260847,0.06524153248195447
190,USE,median,l1,1.1489402903009038,0.1209622710431561,0.06468628539700166
191,USE,median,l1,1.1674715853057571,0.12092440920235799,0.06435313714602998
192,USE,median,l2,0.0,0.07788595271210015,0.9263742365352582
193,USE,median,l2,0.018531295004853288,0.07788595271210015,0.9263742365352582
194,USE,median,l2,0.037062590009706575,0.07788595271210015,0.9263742365352582
195,USE,median,l2,0.05559388501455986,0.07788595271210015,0.9263742365352582
196,USE,median,l2,0.07412518001941315,0.07788595271210015,0.9263742365352582
197,USE,median,l2,0.09265647502426644,0.07788595271210015,0.9263742365352582
198,USE,median,l2,0.11118777002911973,0.07788595271210015,0.9263742365352582
199,USE,median,l2,0.129719065033973,0.08055555555555556,0.9264852859522488
200,USE,median,l2,0.1482503600388263,0.08055555555555556,0.9264852859522488
201,USE,median,l2,0.1667816550436796,0.08055555555555556,0.9264852859522488
202,USE,median,l2,0.18531295004853288,0.08188757807078417,0.926540810660744
203,USE,median,l2,0.20384424505338616,0.08448753462603878,0.9265963353692394
204,USE,median,l2,0.22237554005823945,0.09497591190640055,0.9269850083287062
205,USE,median,l2,0.24090683506309274,0.10150891632373114,0.9272626318711826
206,USE,median,l2,0.259438130067946,0.11179277436946149,0.9276513048306496
207,USE,median,l2,0.2779694250727993,0.12330623306233063,0.9281510272071072
208,USE,median,l2,0.2965007200776526,0.13342318059299188,0.9285952248750694
209,USE,median,l2,0.3150320150825059,0.15925680159256803,0.9296501943364798
210,USE,median,l2,0.3335633100873592,0.18324607329842932,0.93070516379789
211,USE,median,l2,0.35209460509221246,0.20897435897435898,0.931482509716824
212,USE,median,l2,0.37062590009706575,0.2371392722710163,0.932481954469739
213,USE,median,l2,0.38915719510191904,0.2752293577981651,0.9342032204330927
214,USE,median,l2,0.4076884901067723,0.30335731414868106,0.9354802887284842
215,USE,median,l2,0.4262197851116256,0.3270588235294118,0.9364797334813992
216,USE,median,l2,0.4447510801164789,0.3491329479768786,0.9374791782343143
217,USE,median,l2,0.4632823751213322,0.3787450537026569,0.9389783453636869
218,USE,median,l2,0.4818136701261855,0.40818584070796465,0.94058856191005
219,USE,median,l2,0.5003449651310388,0.42414355628058725,0.9411993337034981
220,USE,median,l2,0.518876260135892,0.44195953141640043,0.9418101054969461
221,USE,median,l2,0.5374075551407453,0.47186370676303563,0.9431982232093281
222,USE,median,l2,0.5559388501455986,0.49327354260089684,0.9435313714602999
223,USE,median,l2,0.5744701451504519,0.5215311004784688,0.9444752915047196
224,USE,median,l2,0.5930014401553052,0.5442922374429223,0.9445863409217101
225,USE,median,l2,0.6115327351601585,0.5629887054735013,0.9441421432537479
226,USE,median,l2,0.6300640301650118,0.5877011968633925,0.9445308162132149
227,USE,median,l2,0.6485953251698651,0.597532767925983,0.9420322043309273
228,USE,median,l2,0.6671266201747184,0.5979899497487438,0.937812326485286
229,USE,median,l2,0.6856579151795716,0.5951511125871803,0.9323153803442532
230,USE,median,l2,0.7041892101844249,0.5775757575757575,0.9225985563575791
231,USE,median,l2,0.7227205051892782,0.556395186118108,0.9119933370349805
232,USE,median,l2,0.7412518001941315,0.5171974522292994,0.8947806774014436
233,USE,median,l2,0.7597830951989848,0.47590774149349163,0.8725707940033315
234,USE,median,l2,0.7783143902038381,0.4365733113673806,0.8480843975569128
235,USE,median,l2,0.7968456852086914,0.39602502760397496,0.8177679067184898
236,USE,median,l2,0.8153769802135447,0.355923939541687,0.7799555802332038
237,USE,median,l2,0.8339082752183979,0.3139534883720931,0.7313714602998335
238,USE,median,l2,0.8524395702232512,0.28086804689448747,0.6798445308162132
239,USE,median,l2,0.8709708652281045,0.25253087106463457,0.626929483620211
240,USE,median,l2,0.8895021602329578,0.22638888888888892,0.5670183231538034
241,USE,median,l2,0.9080334552378111,0.20523822293733798,0.506329816768462
242,USE,median,l2,0.9265647502426644,0.18773915167304406,0.4460299833425875
243,USE,median,l2,0.9450960452475177,0.17299073797430536,0.38523042754025544
244,USE,median,l2,0.963627340252371,0.1616682940437997,0.3325930038867296
245,USE,median,l2,0.9821586352572242,0.15143603133159267,0.2781787895613548
246,USE,median,l2,1.0006899302620775,0.1424798869987103,0.22470849528039977
247,USE,median,l2,1.0192212252669308,0.13489804217742404,0.17318156579677957
248,USE,median,l2,1.037752520271784,0.12951084834625468,0.1334258745141588
249,USE,median,l2,1.0562838152766374,0.12571737953438006,0.1033870072182121
250,USE,median,l2,1.0748151102814907,0.12343185200935572,0.0843975569128262
251,USE,median,l2,1.093346405286344,0.122204094521341,0.07390338700721821
252,USE,median,l2,1.1118777002911973,0.12153250287867687,0.06807329261521378
253,USE,median,l2,1.1304089952960505,0.121221613155834,0.06535258189894504
254,USE,median,l2,1.1489402903009038,0.12115836159666057,0.06479733481399223
255,USE,median,l2,1.1674715853057571,0.12112044233477649,0.06446418656302054
