,implementation,preprocess,mean_type,distance,threshold,f1,accuracy
289,USE,lower,mean,l1,11.1442722138904,0.57192075796727,0.944808439755691
545,USE,none,mean,l1,11.166119257609,0.570081440205744,0.944308717379234
414,USE,lower,median,l1,10.2324458530971,0.569209684787574,0.94764019988895
615,USE,none,mean,l2,0.72036879568483,0.56742934051144,0.910771793448084
32,USE,lower_clean,mean,l1,10.7031782846602,0.566495566962202,0.948417545807884
422,USE,lower,median,l1,12.9610980805897,0.566418703506908,0.909383675735702
233,USE,lower_clean,median,l2,0.749973576040105,0.566391184573003,0.912604108828429
670,USE,none,median,l1,10.1795505342029,0.566314823313447,0.94752915047196
481,USE,lower,median,l2,0.609190928970179,0.564818856394588,0.944641865630206
737,USE,none,median,l2,0.611532735160159,0.562988705473501,0.944142143253748
41,USE,lower_clean,mean,l1,13.7134471772209,0.560938296787353,0.904386451971127
487,USE,lower,median,l2,0.719952916055667,0.560810810810811,0.913381454747362
294,USE,lower,mean,l1,12.8327983069041,0.560580681183696,0.912604108828429
544,USE,none,mean,l1,10.8277520073785,0.558013544018059,0.94564131038312
608,USE,none,mean,l2,0.591071832356784,0.557361820715281,0.947084952803998
288,USE,lower,mean,l1,10.8065669952877,0.556411418214771,0.94564131038312
743,USE,none,median,l2,0.722720505189278,0.556395186118108,0.91199333703498
550,USE,none,mean,l1,12.8579555087619,0.555770827567119,0.910882842865075
360,USE,lower,mean,l2,0.730253430656144,0.553125803961924,0.903553581343698
96,USE,lower_clean,mean,l2,0.577666078926062,0.552325581395349,0.948695169350361
224,USE,lower_clean,median,l2,0.585345230080082,0.549834671705243,0.947084952803998
169,USE,lower_clean,median,l1,13.9126929025801,0.548792270531401,0.896279844530816
480,USE,lower,median,l2,0.590730597789265,0.547706422018349,0.945252637423654
352,USE,lower,mean,l2,0.584202744524915,0.547517730496454,0.946862853970017
157,USE,lower_clean,median,l1,9.8406852237762,0.547469879518072,0.947862298722932
413,USE,lower,median,l1,9.89136432466053,0.546489563567363,0.946918378678512
736,USE,none,median,l2,0.593001440155305,0.544292237442922,0.94458634092171
669,USE,none,median,l1,9.84023218306284,0.544237207077953,0.947084952803998
234,USE,lower_clean,median,l2,0.768265614480107,0.54234693877551,0.900388672959467
679,USE,none,median,l1,13.2334156944638,0.541024365987071,0.897501388117712
107,USE,lower_clean,mean,l2,0.776238793556896,0.537878787878788,0.891615769017213
31,USE,lower_clean,mean,l1,10.3687039632646,0.537749634680955,0.947307051637979
543,USE,none,mean,l1,10.4893847571479,0.533713200379867,0.945474736257635
287,USE,lower,mean,l1,10.468861776685,0.532825880114177,0.945474736257635
423,USE,lower,median,l1,13.3021796090262,0.532203389830508,0.892726263187118
295,USE,lower,mean,l1,13.1705035255069,0.531812420785805,0.897445863409217
607,USE,none,mean,l2,0.572600837595634,0.531522793404462,0.946363131593559
616,USE,none,mean,l2,0.73883979044598,0.531042944785276,0.893892282065519
42,USE,lower_clean,mean,l1,14.0479214986165,0.530745849894786,0.888561910049972
223,USE,lower_clean,median,l2,0.567053191640079,0.529756097560976,0.94647418101055
351,USE,lower,mean,l2,0.565946408758512,0.529469548133595,0.946807329261521
551,USE,none,mean,l1,13.1963227589925,0.526606425702811,0.895280399777901
412,USE,lower,median,l1,9.55028279622396,0.526574803149606,0.94658523042754
156,USE,lower_clean,median,l1,9.50135125054253,0.526211671612265,0.946807329261521
479,USE,lower,median,l2,0.57227026660835,0.523283725396063,0.944863964464186
488,USE,lower,median,l2,0.738413247236581,0.52258726899384,0.896724042198778
735,USE,none,median,l2,0.574470145150452,0.521531100478469,0.94447529150472
744,USE,none,median,l2,0.741251800194132,0.517197452229299,0.894780677401444
668,USE,none,median,l1,9.50091383192274,0.516641828117238,0.945974458634092
95,USE,lower_clean,mean,l2,0.559614013959623,0.516096579476861,0.94658523042754
170,USE,lower_clean,median,l1,14.2520268758138,0.515138023152271,0.879067184897279
361,USE,lower,mean,l2,0.748509766422548,0.508177839207556,0.881454747362576
235,USE,lower_clean,median,l2,0.78655765292011,0.507652460560396,0.883897834536369
30,USE,lower_clean,mean,l1,10.034229641869,0.506290890790136,0.94553026096613
222,USE,lower_clean,median,l2,0.548761153200077,0.504766683391872,0.945197112715158
155,USE,lower_clean,median,l1,9.16201727730887,0.504577822990844,0.945918933925597
